date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:10	844686/844686	---MCZ	200	added ('OK')	image/gif	etag:%222003f-ce38e-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ezgif-1-1085cc9b5f.gif	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ezgif-1-1085cc9b5f.gif	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:31	1014622/1014622	---MCZ	200	added ('OK')	image/png	etag:%2220065-f7b5e-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/p1-1.png	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/p1-1.png	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:31	525136/525136	---MCZ	200	added ('OK')	image/png	etag:%2220066-80350-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/p2-3.png	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/p2-3.png	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:32	186641/186641	---MCZ	200	added ('OK')	image/png	etag:%2220067-2d911-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/p3-3.png	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/p3-3.png	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:32	3425/3425	---M-Z	200	added ('OK')	image/png	etag:%222003c-d61-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ed-final-logo-122x80.png	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ed-final-logo-122x80.png	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:32	95827/95827	---MCZ	200	added ('OK')	image/jpeg	etag:%222002a-17653-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/1661823015641.jpg	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/1661823015641.jpg	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:32	221/221	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jan%202024%2018:31:43%20GMT	https://www.ese.iitb.ac.in/~energyday/authors.html	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/authors.html	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:32	18994/18994	---M-Z	200	added ('OK')	text/javascript	etag:%2220082-4a32-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/popper/popper.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/popper/popper.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:33	89476/89476	---M-Z	200	added ('OK')	text/javascript	etag:%2220139-15d84-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/web/assets/jquery/jquery.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/web/assets/jquery/jquery.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:33	60174/60174	---M-Z	200	added ('OK')	text/javascript	etag:%2220010-eb0e-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/bootstrap/js/bootstrap.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/bootstrap/js/bootstrap.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:34	23217/23217	---M-Z	200	added ('OK')	text/javascript	etag:%2220092-5ab1-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/tether/tether.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/tether/tether.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:34	7970/7970	---M-Z	200	added ('OK')	text/javascript	etag:%2220086-1f22-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/smoothscroll/smooth-scroll.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/smoothscroll/smooth-scroll.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:34	3123/3123	---M-Z	200	added ('OK')	text/javascript	etag:%222009b-c33-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/viewportchecker/jquery.viewportchecker.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/viewportchecker/jquery.viewportchecker.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:34	15210/15210	---M-Z	200	added ('OK')	text/javascript	etag:%2220080-3b6a-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/parallax/jarallax.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/parallax/jarallax.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:34	7965/7965	---M-Z	200	added ('OK')	text/javascript	etag:%2220017-1f1d-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/dropdown/js/nav-dropdown.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/dropdown/js/nav-dropdown.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:35	22369993/22369993	---MCZ	200	added ('OK')	image/gif	etag:%2220046-15556c9-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ezgif-4-65179da429.gif	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ezgif-4-65179da429.gif	(from https://www.ese.iitb.ac.in/~energyday/)
